Index,Institute code,College Name,Address
227,3445,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur.","At - Mohili, Post. Aghar, Taluka Shahapur, Dist. Thane"
228,3446,"Kala Vidyalaya Trust, Kala Institute of Management Studies & Research, Kandivali","Plot No 2,RSC 6, S.No.41(PART),Sector 8.CTS. No.3,Village Charkop Kandivali(west), Mumbai.  400067"
229,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.","At Post Taluka. Tala, Dist. Raigad "
230,3448,"Gokhale Education Society, Katgara Polytechnic Institute, Bordi.","At Post Bordi, Taluka Dhahanu, Dist. Thane  401701"
231,3449,"S.K.Education Trust, Dr. Manoj A Shete College of Engineering & Technology, Kasara.","At Post Kasara, Tal. Shahapur, Dist. Thane "
232,3450,"St.Wilfreds Institute of Architecture, Panvel","Survey No 92A/A Opposite Ayush Resort ,Near Shedung Tollnaka,Old Bombay Pune Highway,Panvel Dist. Raigad "
233,3451,"Lokmanya Tilak Institute of Architecture and Design Studies, Kopar Khairane, Navi Mumbai.","Sector-4, Vikas Nagar, Kopar Khairane, Navi Mumbai. "
234,3452,"Matoshri. Ushatai Jadhav Institute of Management studies & Research Centre, Bhivandi","Dhamankar Naka, Vidyashram, Bhivandi Thane , 421305"
235,3457,"Chetana'S Institute Of Management and Research, Bandra(E), Mumbai","Survey No. 341, Govt. Colony, Bandra (E), Mumbai, - 400051"
236,3458,"Smt. Geeta D. Tatkare Polytechnic At Gove, Kolad","At Gove, Post Kolad, Taluka Roha, Dist. Raigad."
237,3459,"Bunts Sangha's Uma Krishna Shetty Institute of Management Studies & Research, Kurla","Buntara Bhavan, Bhandaray Estate, Buntara Bhavan Marg, Kurla, Mumbai "
238,3460,"Universal College of Engineering,Kaman Dist. Palghar","Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai"
239,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.","At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri."
240,3463,"Urja Education Society's Aditya Polytechnic, Ratnagiri","Gat No. 493, At And Post Talawade, College Road, Near Adavali Railway Station, Taluka Lanja, Dist. Ratnagiri"
241,3464,"Viva Institute of Pharmacy, Virar(E)","Shirgaon, Virar(E), Dist. Palghar"
242,3465,"Ideal Institute of Technology, Wada, Dist.Thane","40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane. "
243,3466,"Devi Mahalaxmi Polytechnic, Titwala, Kalyan","At Mhaskal, Near Ganesh Temple, Titwala, Kalyan. "
244,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad","Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad"
245,3468,"Aditya College of Architecture, Borivali (W), Mumbai","Adiya Educational Campus, R.M. Bhattad marg, Ram Nagar, Boravali (W), Mumbai"
246,3469,"Dalvi Education and charitable trust Maharashtra Polytechnic, Soveli, Tal. Mandangad","At Shenale, Post Soveli, Tal. Mandangad, Dist Ratnagiri"
247,3470,"Yashwantrao Bhonsale Polytechnic, Charathe,  Sawantwadi","At Post Charathe ( Vazarwadi), Tal.Sawantwadi, Sindhudurg."
248,3471,"New Horizon Institute of Technology & Management, Thane","Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)"
